Vernier Format 2
Sin título.cmbl 8/09/2026 13:54:51 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.05	-0.0872664625997	-2.09439510239	-0.813409620528	0.348488	0.147871111111	-0.0398578703704
0.1	-0.191986217719	-2.10893951283	-1.98234927387	0.3558625	0.146965972222	-0.0678854166667
0.15	-0.296705972839	-2.18166156499	-4.37786754042	0.3634085	0.142916666667	-0.0949443055556
0.2	-0.401425727959	-2.43376467917	-8.67008466384	0.37044	0.135008611111	-0.0762486882716
0.25	-0.523598775598	-3.04462991737	-13.1950123542	0.3767855	0.130435277778	0.015694367284
0.3	-0.698131700798	-3.84942062801	-15.6918028119	0.382788	0.138724444444	0.0186850308642
0.35	-0.907571211037	-4.71238898038	-15.5786796197	0.390334	0.147680555556	-0.311187808642
0.4	-1.16937059884	-5.52687596465	-12.3250411375	0.3987375	0.127481666667	-1.01216759259
0.45	-1.46607657168	-6.13774120285	-5.21982729995	0.4062835	0.0439230555556	-1.64449444444
0.5	-1.81514242207	-6.09895610836	2.6934093395	0.4042255	-0.0644077777778	-1.73336743827
0.55	-2.09439510239	-5.65292752174	6.38338013461	0.3983945	-0.148252222222	-1.40328287037
0.6	-2.37364778271	-5.27477285047	5.98475555236	0.388276	-0.206562222222	-0.977020679012
0.65	-2.61799387799	-4.98388464181	3.57146078417	0.3767855	-0.240671666667	-0.64053132716
0.7	-2.86233997327	-4.91601072645	0.883438263355	0.363923	-0.265253333333	-0.427585493827
0.75	-3.10668606855	-4.9354032737	-0.931919631466	0.34986	-0.2804025	-0.286097993827
0.8	-3.35103216383	-5.05175855716	-1.79381062011	0.335797	-0.292693333333	-0.144822222222
0.85	-3.61283155163	-5.16811384063	-1.49214877408	0.320705	-0.301935277778	0.166312654321
0.9	-3.87463093943	-5.17781011425	-1.03426918637	0.304927	-0.290787777778	0.758622839506
0.95	-4.11897703471	-5.3329504922	1.04504282373	0.2893205	-0.230953333333	1.414875
1	-4.41568300755	-5.27477285047	6.57730560705	0.279888	-0.131388055556	1.70144938272
1.05	-4.67748239534	-4.64451506503	11.1776487589	0.2766295	-0.0376347222222	1.51025864198
