Vernier Format 2
Sin título.cmbl 8/09/2026 13:58:47 .
Último
Tiempo	Angulo	Velocidad 1	Aceleración 1	Posición	Velocidad 2	Aceleración 2
t	Angulo	v 1	a 1	x	v 2	a 2
s	rad	rad/s	rad/s²	m	m/s	m/s²

0.1	-0.383972435439	-4.17909393116	-0.0420171856961	0.3970225	-0.251342777778	0.0526171527778
0.2	-0.802851455917	-4.16939765754	-0.424615982372	0.3719835	-0.250223263889	0.151694131944
0.3	-1.2217304764	-4.18006355853	-1.22657861321	0.346773	-0.240900333333	0.367514178241
0.4	-1.62315620435	-4.33908244593	-2.51591366402	0.320705	-0.198034861111	0.760233298611
0.5	-2.05948851735	-4.76571848531	-2.97002247866	0.301497	-0.0920859722222	1.17943170139
0.6	-2.58308729295	-5.11963247252	-1.72485934101	0.297724	0.0616447222222	1.3308426466
0.7	-3.12413936107	-5.11478433571	-0.389197649557	0.3143595	0.210563888889	1.06936072531
0.8	-3.61283155163	-5.03236600992	-0.409398219604	0.3445435	0.304221944444	0.465326080247
0.9	-4.10152374219	-5.16811384063	-0.689512790911	0.381416	0.319514027778	-0.310856983025
1	-4.6425758103	-5.31840608177	0.200658995792	0.4176025	0.23366875	-0.981996296296
1.1	-5.20108117094	-5.16326570382	1.32111728102	0.433552	0.0864645833333	-1.26724737654
1.2	-5.6897733615	-4.88207376877	0.952120201512	0.432866	-0.05016375	-1.20284224537
1.3	-6.14355896702	-4.88692190558	-0.175071607067	0.4213755	-0.164020694444	-0.968061921296
1.4	-6.6497044501	-5.04691042035	-0.195272177114	0.398566	-0.252771944444	-0.596240393519
1.5	-7.1733032257	-5.04206228354	0.882091558685	0.3675245	-0.297028472222	-0.0742769675926
1.6	-7.67944870878	-4.82874426385	1.70762152124	0.3339105	-0.27740125	0.53294683642
1.7	-8.13323431429	-4.6299706546	1.8342117602	0.3050985	-0.181218333333	1.02839128086
1.8	-8.60447321233	-4.44089331896	1.54871037021	0.294294	-0.0443041666667	1.22781296296
1.9	-9.02335223281	-4.26636039376	0.612750624735	0.297381	0.0868933333333	1.1542505787
2	-9.44223125329	-4.26151225695	-0.927879517457	0.313159	0.1997975	0.885858371914
2.1	-9.86111027377	-4.44089331896	-2.54931193983	0.3397415	0.278496944444	0.429146990741
